# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-01-25 09:35:11 EST       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01022294 East Br Bear Brook near Beddington, Maine
# -----------------------------------------------------------------------------------
#
# Data provided for site 01022294
#            TS   parameter     Description
#         65461       00065     Gage height, feet
#         65462       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	65461_00065	65461_00065_cd	65462_00060	65462_00060_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	01022294	2016-01-01 00:00	EST	5.257	P	Ice	P
USGS	01022294	2016-01-01 00:05	EST	5.257	P	Ice	P
USGS	01022294	2016-01-01 00:10	EST	5.257	P	Ice	P
USGS	01022294	2016-01-01 00:15	EST	5.257	P	Ice	P
USGS	01022294	2016-01-01 00:20	EST	5.257	P	Ice	P
USGS	01022294	2016-01-01 00:25	EST	5.256	P	Ice	P
USGS	01022294	2016-01-01 00:30	EST	5.256	P	Ice	P
USGS	01022294	2016-01-01 00:35	EST	5.256	P	Ice	P
USGS	01022294	2016-01-01 00:40	EST	5.256	P	Ice	P
USGS	01022294	2016-01-01 00:45	EST	5.255	P	Ice	P
USGS	01022294	2016-01-01 00:50	EST	5.256	P	Ice	P
USGS	01022294	2016-01-01 00:55	EST	5.256	P	Ice	P
USGS	01022294	2016-01-01 01:00	EST	5.255	P	Ice	P
USGS	01022294	2016-01-01 01:05	EST	5.256	P	Ice	P
USGS	01022294	2016-01-01 01:10	EST	5.255	P	Ice	P
USGS	01022294	2016-01-01 01:15	EST	5.255	P	Ice	P
USGS	01022294	2016-01-01 01:20	EST	5.255	P	Ice	P
USGS	01022294	2016-01-01 01:25	EST	5.255	P	Ice	P
USGS	01022294	2016-01-01 01:30	EST	5.255	P	Ice	P
USGS	01022294	2016-01-01 01:35	EST	5.254	P	Ice	P
USGS	01022294	2016-01-01 01:40	EST	5.255	P	Ice	P
USGS	01022294	2016-01-01 01:45	EST	5.254	P	Ice	P
