Site, Easting, Northing, Slope
black_str, 481417.7, 4999671.8, 0.8076859808946102
branch, 371740.5, 4804139.3, 1.1342853433917297
ducktrap, 495149.8, 4908435.5, 0.8821083846402248
east_bear, 570794.3, 4967687.9, 1.0104184959937168
east_wess, 448175.5, 4977328.2, 0.9276263687146946
hardwood, 577158.7, 5184614.1, 1.2275998398265855
kennebunk, 374280.6, 4809985.9, 0.9495727503765483
libby, 600837.1, 4961616.5, 1.1072805369704695
old_str, 599723.0, 4976722.7, 0.8113079177980541
otter, 563248.3, 4909140.8, 1.4291978921247346
pearce, 589613.1, 5107509.5, 0.9459436384336345
sandy, 382648.1, 4968224.5, 1.1066318307230036
stoney, 368217.5, 4857136.5, 0.8800758590630311
williams, 580145.0, 5164364.9, 1.229208390584868
