# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-01-24 16:09:43 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01063310 Stony Brook at East Sebago, Maine
# -----------------------------------------------------------------------------------
#
# Data provided for site 01063310
#            TS   parameter     Description
#         65728       00060     Discharge, cubic feet per second
#         65729       00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	tz_cd	65728_00060	65728_00060_cd	65729_00065	65729_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	01063310	2010-01-01 00:00	EST	3.1	A	4.243	A
USGS	01063310	2010-01-01 00:15	EST	3.1	A	4.242	A
USGS	01063310	2010-01-01 00:30	EST	3.1	A	4.242	A
USGS	01063310	2010-01-01 00:45	EST	3.1	A	4.243	A
USGS	01063310	2010-01-01 01:00	EST	3.1	A	4.242	A
USGS	01063310	2010-01-01 01:15	EST	3.1	A	4.242	A
USGS	01063310	2010-01-01 01:30	EST	3.1	A	4.242	A
USGS	01063310	2010-01-01 01:45	EST	3.1	A	4.242	A
USGS	01063310	2010-01-01 02:00	EST	3.1	A	4.243	A
USGS	01063310	2010-01-01 02:15	EST	3.1	A	4.242	A
USGS	01063310	2010-01-01 02:30	EST	3.1	A	4.242	A
USGS	01063310	2010-01-01 02:45	EST	3.1	A	4.242	A
USGS	01063310	2010-01-01 03:00	EST	3.1	A	4.242	A
USGS	01063310	2010-01-01 03:15	EST	3.1	A	4.242	A
USGS	01063310	2010-01-01 03:30	EST	3.1	A	4.241	A
USGS	01063310	2010-01-01 03:45	EST	3.1	A	4.241	A
USGS	01063310	2010-01-01 04:00	EST	3.1	A	4.243	A
USGS	01063310	2010-01-01 04:15	EST	3.1	A	4.241	A
USGS	01063310	2010-01-01 04:30	EST	3.1	A	4.241	A
USGS	01063310	2010-01-01 04:45	EST	3.1	A	4.240	A
USGS	01063310	2010-01-01 05:00	EST	3.1	A	4.240	A
USGS	01063310	2010-01-01 05:15	EST	3.1	A	4.241	A
USGS	01063310	2010-01-01 05:30	EST	3.1	A	4.242	A
USGS	01063310	2010-01-01 05:45	EST	3.1	A	4.243	A
USGS	01063310	2010-01-01 06:00	EST	3.1	A	4.243	A
USGS	01063310	2010-01-01 06:15	EST	3.1	A	4.241	A
USGS	01063310	2010-01-01 06:30	EST	3.1	A	4.241	A
USGS	01063310	2010-01-01 06:45	EST	3.1	A	4.241	A
USGS	01063310	2010-01-01 07:00	EST	3.1	A	4.241	A
USGS	01063310	2010-01-01 07:15	EST	3.1	A	4.242	A
